,PID,status,blockorder,condition_1,Zone.Type,ratings,condition_2,samplegroup
12463,11486000,complete,NES,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
14002,11486023,complete,NES,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
14963,11486023,complete,NES,Trash_Single_Positive,response_slider_endValue,9,single 16 positive,82781
15942,11486017,complete,NES,Trash_Single_Positive,response_slider_endValue,-1,single 16 positive,82781
17463,11486017,complete,NES,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,82781
19001,11486035,complete,NES,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
19963,11486035,complete,NES,Trash_Single_Positive,response_slider_endValue,9,single 16 positive,82781
20941,11486025,complete,NES,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,82781
22463,11486025,complete,NES,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,82781
1503,6067181,complete,NES,Empty_Positive,response_slider_endValue,-3,empty 72 positive,82781
2464,6067181,complete,NES,Empty_Positive,response_slider_endValue,-4,empty 16 positive,82781
3441,6067676,complete,NES,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
4964,6067676,complete,NES,Empty_Positive,response_slider_endValue,2,empty 72 positive,82781
5942,6067969,complete,NES,Empty_Positive,response_slider_endValue,-4,empty 16 positive,82781
7464,6067969,complete,NES,Empty_Positive,response_slider_endValue,8,empty 72 positive,82781
9002,6070088,complete,NES,Empty_Positive,response_slider_endValue,9,empty 72 positive,82781
9964,6070088,complete,NES,Empty_Positive,response_slider_endValue,-10,empty 16 positive,82781
10942,11486000,complete,NES,Empty_Positive,response_slider_endValue,7,empty 16 positive,82781
12464,11486000,complete,NES,Empty_Positive,response_slider_endValue,-5,empty 72 positive,82781
13441,11486023,complete,NES,Empty_Positive,response_slider_endValue,3,empty 16 positive,82781
14964,11486023,complete,NES,Empty_Positive,response_slider_endValue,4,empty 72 positive,82781
15943,11486035,complete,NES,Empty_Positive,response_slider_endValue,8,empty 16 positive,82781
17464,11486035,complete,NES,Empty_Positive,response_slider_endValue,7,empty 72 positive,82781
19002,11486017,complete,NES,Empty_Positive,response_slider_endValue,1,empty 72 positive,82781
19964,11486017,complete,NES,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
20942,11486025,complete,NES,Empty_Positive,response_slider_endValue,8,empty 16 positive,82781
22464,11486025,complete,NES,Empty_Positive,response_slider_endValue,6,empty 72 positive,82781
1504,6067091,complete,ENS,Trash_Single_Positive,response_slider_endValue,2,single 72 positive,82781
2465,6067091,complete,ENS,Trash_Single_Positive,response_slider_endValue,-2,single 16 positive,82781
4003,6067172,complete,ENS,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
4965,6067172,complete,ENS,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,82781
6502,6067702,complete,ENS,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,82781
7465,6067702,complete,ENS,Trash_Single_Positive,response_slider_endValue,2,single 16 positive,82781
8442,6067740,complete,ENS,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
9965,6067740,complete,ENS,Trash_Single_Positive,response_slider_endValue,-1,single 72 positive,82781
10943,6067939,complete,ENS,Trash_Single_Positive,response_slider_endValue,-7,single 16 positive,82781
12465,6067939,complete,ENS,Trash_Single_Positive,response_slider_endValue,-3,single 72 positive,82781
14003,11485998,complete,ENS,Trash_Single_Positive,response_slider_endValue,-3,single 72 positive,82781
14965,11485998,complete,ENS,Trash_Single_Positive,response_slider_endValue,-2,single 16 positive,82781
16501,11485990,complete,ENS,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,82781
17465,11485990,complete,ENS,Trash_Single_Positive,response_slider_endValue,8,single 16 positive,82781
19003,11485999,complete,ENS,Trash_Single_Positive,response_slider_endValue,8,single 72 positive,82781
19965,11485999,complete,ENS,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,82781
20943,11486039,complete,ENS,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
22465,11486039,complete,ENS,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
23442,11486015,complete,ENS,Trash_Single_Positive,response_slider_endValue,-5,single 16 positive,82781
24963,11486015,complete,ENS,Trash_Single_Positive,response_slider_endValue,10,single 72 positive,82781
25941,11486198,complete,ENS,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,82781
27462,11486198,complete,ENS,Trash_Single_Positive,response_slider_endValue,8,single 72 positive,82781
941,6067103,complete,NSE,Trash_Single_Negative,response_slider_endValue,-10,single 16 negative,82781
2466,6067103,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,82781
3442,6067705,complete,NSE,Trash_Single_Negative,response_slider_endValue,2,single 16 negative,82781
4966,6067705,complete,NSE,Trash_Single_Negative,response_slider_endValue,-6,single 72 negative,82781
5943,6067686,complete,NSE,Trash_Single_Negative,response_slider_endValue,10,single 16 negative,82781
7466,6067686,complete,NSE,Trash_Single_Negative,response_slider_endValue,-10,single 72 negative,82781
9003,6067920,complete,NSE,Trash_Single_Negative,response_slider_endValue,5,single 72 negative,82781
9966,6067920,complete,NSE,Trash_Single_Negative,response_slider_endValue,-6,single 16 negative,82781
11502,6080138,complete,NSE,Trash_Single_Negative,response_slider_endValue,-2,single 72 negative,82781
12466,6080138,complete,NSE,Trash_Single_Negative,response_slider_endValue,0,single 16 negative,82781
14004,11486011,complete,NSE,Trash_Single_Negative,response_slider_endValue,7,single 72 negative,82781
14966,11486011,complete,NSE,Trash_Single_Negative,response_slider_endValue,8,single 16 negative,82781
15944,11486031,complete,NSE,Trash_Single_Negative,response_slider_endValue,7,single 16 negative,82781
17466,11486031,complete,NSE,Trash_Single_Negative,response_slider_endValue,8,single 72 negative,82781
18442,11486010,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 16 negative,82781
19966,11486010,complete,NSE,Trash_Single_Negative,response_slider_endValue,-9,single 72 negative,82781
21502,11486053,complete,NSE,Trash_Single_Negative,response_slider_endValue,6,single 72 negative,82781
22466,11486053,complete,NSE,Trash_Single_Negative,response_slider_endValue,8,single 16 negative,82781
24001,11486056,complete,NSE,Trash_Single_Negative,response_slider_endValue,8,single 72 negative,82781
24964,11486056,complete,NSE,Trash_Single_Negative,response_slider_endValue,8,single 16 negative,82781
26501,11486201,complete,NSE,Trash_Single_Negative,response_slider_endValue,5,single 72 negative,82781
27463,11486201,complete,NSE,Trash_Single_Negative,response_slider_endValue,4,single 16 negative,82781
1505,6067170,complete,SNE,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,82781
2467,6067170,complete,SNE,Trash_Single_Positive,response_slider_endValue,-6,single 16 positive,82781
3443,6067764,complete,SNE,Trash_Single_Positive,response_slider_endValue,10,single 16 positive,82781
4967,6067764,complete,SNE,Trash_Single_Positive,response_slider_endValue,5,single 72 positive,82781
5944,6068152,complete,SNE,Trash_Single_Positive,response_slider_endValue,5,single 16 positive,82781
7467,6068152,complete,SNE,Trash_Single_Positive,response_slider_endValue,-10,single 72 positive,82781
8443,11486001,complete,SNE,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,82781
9967,11486001,complete,SNE,Trash_Single_Positive,response_slider_endValue,8,single 72 positive,82781
11503,11486033,complete,SNE,Trash_Single_Positive,response_slider_endValue,3,single 72 positive,82781
12467,11486033,complete,SNE,Trash_Single_Positive,response_slider_endValue,2,single 16 positive,82781
14005,11486003,complete,SNE,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,82781
14967,11486003,complete,SNE,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
15945,11486059,complete,SNE,Trash_Single_Positive,response_slider_endValue,9,single 16 positive,82781
17467,11486059,complete,SNE,Trash_Single_Positive,response_slider_endValue,9,single 72 positive,82781
19004,11486273,complete,SNE,Trash_Single_Positive,response_slider_endValue,8,single 72 positive,82781
19967,11486273,complete,SNE,Trash_Single_Positive,response_slider_endValue,9,single 16 positive,82781
942,11486036,complete,ESN,Trash_Single_Positive,response_slider_endValue,7,single 16 positive,82781
2468,11486036,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,82781
4004,11485988,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,82781
4968,11485988,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
5945,6067617,complete,ESN,Trash_Single_Positive,response_slider_endValue,3,single 16 positive,82781
7468,6067617,complete,ESN,Trash_Single_Positive,response_slider_endValue,4,single 72 positive,82781
8444,6067110,complete,ESN,Trash_Single_Positive,response_slider_endValue,9,single 16 positive,82781
9968,6067110,complete,ESN,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
10944,11486019,complete,ESN,Trash_Single_Positive,response_slider_endValue,-5,single 16 positive,82781
12468,11486019,complete,ESN,Trash_Single_Positive,response_slider_endValue,-6,single 72 positive,82781
13442,11486012,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
14968,11486012,complete,ESN,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
15946,6068488,complete,ESN,Trash_Single_Positive,response_slider_endValue,-5,single 16 positive,82781
17468,6068488,complete,ESN,Trash_Single_Positive,response_slider_endValue,-5,single 72 positive,82781
19005,6067865,complete,ESN,Trash_Single_Positive,response_slider_endValue,-7,single 72 positive,82781
19968,6067865,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
21503,11486040,complete,ESN,Trash_Single_Positive,response_slider_endValue,7,single 72 positive,82781
22467,11486040,complete,ESN,Trash_Single_Positive,response_slider_endValue,8,single 16 positive,82781
23443,11486194,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 16 positive,82781
24965,11486194,complete,ESN,Trash_Single_Positive,response_slider_endValue,6,single 72 positive,82781
943,6067170,complete,SNE,Empty_Positive,response_slider_endValue,1,empty 16 positive,82781
2469,6067170,complete,SNE,Empty_Positive,response_slider_endValue,-8,empty 72 positive,82781
4005,6067764,complete,SNE,Empty_Positive,response_slider_endValue,0,empty 72 positive,82781
4969,6067764,complete,SNE,Empty_Positive,response_slider_endValue,10,empty 16 positive,82781
6503,6068152,complete,SNE,Empty_Positive,response_slider_endValue,1,empty 72 positive,82781
7469,6068152,complete,SNE,Empty_Positive,response_slider_endValue,3,empty 16 positive,82781
9004,11486001,complete,SNE,Empty_Positive,response_slider_endValue,5,empty 72 positive,82781
9969,11486001,complete,SNE,Empty_Positive,response_slider_endValue,4,empty 16 positive,82781
11504,11486033,complete,SNE,Empty_Positive,response_slider_endValue,0,empty 72 positive,82781
12469,11486033,complete,SNE,Empty_Positive,response_slider_endValue,1,empty 16 positive,82781
14006,11486059,complete,SNE,Empty_Positive,response_slider_endValue,10,empty 72 positive,82781
14969,11486059,complete,SNE,Empty_Positive,response_slider_endValue,10,empty 16 positive,82781
15947,11486003,complete,SNE,Empty_Positive,response_slider_endValue,3,empty 16 positive,82781
17469,11486003,complete,SNE,Empty_Positive,response_slider_endValue,4,empty 72 positive,82781
19006,11486273,complete,SNE,Empty_Positive,response_slider_endValue,9,empty 72 positive,82781
19969,11486273,complete,SNE,Empty_Positive,response_slider_endValue,6,empty 16 positive,82781
944,6067110,complete,ESN,Trash_Single_Negative,response_slider_endValue,-6,single 16 negative,82781
24610,6067110,complete,ESN,Trash_Single_Negative,response_slider_endValue,-8,single 72 negative,82781
4006,6067617,complete,ESN,Trash_Single_Negative,response_slider_endValue,-3,single 72 negative,82781
49610,6067617,complete,ESN,Trash_Single_Negative,response_slider_endValue,2,single 16 negative,82781
6504,11485988,complete,ESN,Trash_Single_Negative,response_slider_endValue,6,single 72 negative,82781
74610,11485988,complete,ESN,Trash_Single_Negative,response_slider_endValue,7,single 16 negative,82781
9005,11486012,complete,ESN,Trash_Single_Negative,response_slider_endValue,-7,single 72 negative,82781
99610,11486012,complete,ESN,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,82781
11505,11486019,complete,ESN,Trash_Single_Negative,response_slider_endValue,-3,single 72 negative,82781
124610,11486019,complete,ESN,Trash_Single_Negative,response_slider_endValue,-6,single 16 negative,82781
14007,6067865,complete,ESN,Trash_Single_Negative,response_slider_endValue,-6,single 72 negative,82781
149610,6067865,complete,ESN,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,82781
16502,11486036,complete,ESN,Trash_Single_Negative,response_slider_endValue,-4,single 72 negative,82781
174610,11486036,complete,ESN,Trash_Single_Negative,response_slider_endValue,-5,single 16 negative,82781
18443,6068488,complete,ESN,Trash_Single_Negative,response_slider_endValue,-6,single 16 negative,82781
199610,6068488,complete,ESN,Trash_Single_Negative,response_slider_endValue,-10,single 72 negative,82781
20944,11486040,complete,ESN,Trash_Single_Negative,response_slider_endValue,1,single 16 negative,82781
22468,11486040,complete,ESN,Trash_Single_Negative,response_slider_endValue,-3,single 72 negative,82781
23444,11486194,complete,ESN,Trash_Single_Negative,response_slider_endValue,8,single 16 negative,82781
24966,11486194,complete,ESN,Trash_Single_Negative,response_slider_endValue,7,single 72 negative,82781
1506,6067170,complete,SNE,Empty_Negative,response_slider_endValue,-3,empty 72 negative,82781
24611,6067170,complete,SNE,Empty_Negative,response_slider_endValue,-4,empty 16 negative,82781
3444,6067764,complete,SNE,Empty_Negative,response_slider_endValue,10,empty 16 negative,82781
49611,6067764,complete,SNE,Empty_Negative,response_slider_endValue,0,empty 72 negative,82781
5946,6068152,complete,SNE,Empty_Negative,response_slider_endValue,-3,empty 16 negative,82781
74611,6068152,complete,SNE,Empty_Negative,response_slider_endValue,-10,empty 72 negative,82781
8445,11486003,complete,SNE,Empty_Negative,response_slider_endValue,-2,empty 16 negative,82781
99611,11486003,complete,SNE,Empty_Negative,response_slider_endValue,-8,empty 72 negative,82781
11506,11486001,complete,SNE,Empty_Negative,response_slider_endValue,-1,empty 72 negative,82781
124611,11486001,complete,SNE,Empty_Negative,response_slider_endValue,-3,empty 16 negative,82781
13443,11486033,complete,SNE,Empty_Negative,response_slider_endValue,-7,empty 16 negative,82781
149611,11486033,complete,SNE,Empty_Negative,response_slider_endValue,-7,empty 72 negative,82781
15948,11486059,complete,SNE,Empty_Negative,response_slider_endValue,10,empty 16 negative,82781
174611,11486059,complete,SNE,Empty_Negative,response_slider_endValue,9,empty 72 negative,82781
18444,11486273,complete,SNE,Empty_Negative,response_slider_endValue,7,empty 16 negative,82781
199611,11486273,complete,SNE,Empty_Negative,response_slider_endValue,7,empty 72 negative,82781
1507,6067091,complete,ENS,Empty_Negative,response_slider_endValue,-1,empty 72 negative,82781
24612,6067091,complete,ENS,Empty_Negative,response_slider_endValue,2,empty 16 negative,82781
3445,6067172,complete,ENS,Empty_Negative,response_slider_endValue,2,empty 16 negative,82781
49612,6067172,complete,ENS,Empty_Negative,response_slider_endValue,-4,empty 72 negative,82781
5947,6067702,complete,ENS,Empty_Negative,response_slider_endValue,-2,empty 16 negative,82781
74612,6067702,complete,ENS,Empty_Negative,response_slider_endValue,1,empty 72 negative,82781
9006,6067740,complete,ENS,Empty_Negative,response_slider_endValue,2,empty 72 negative,82781
99612,6067740,complete,ENS,Empty_Negative,response_slider_endValue,6,empty 16 negative,82781
10945,6067939,complete,ENS,Empty_Negative,response_slider_endValue,3,empty 16 negative,82781
124612,6067939,complete,ENS,Empty_Negative,response_slider_endValue,0,empty 72 negative,82781
13444,11485998,complete,ENS,Empty_Negative,response_slider_endValue,4,empty 16 negative,82781
149612,11485998,complete,ENS,Empty_Negative,response_slider_endValue,4,empty 72 negative,82781
15949,11485990,complete,ENS,Empty_Negative,response_slider_endValue,-5,empty 16 negative,82781
174612,11485990,complete,ENS,Empty_Negative,response_slider_endValue,-7,empty 72 negative,82781
1845,11485999,complete,ENS,Empty_Negative,response_slider_endValue,8,empty 16 negative,82781
1997,11485999,complete,ENS,Empty_Negative,response_slider_endValue,8,empty 72 negative,82781
2151,11486039,complete,ENS,Empty_Negative,response_slider_endValue,-1,empty 72 negative,82781
2247,11486039,complete,ENS,Empty_Negative,response_slider_endValue,-4,empty 16 negative,82781
2345,11486015,complete,ENS,Empty_Negative,response_slider_endValue,9,empty 16 negative,82781
2497,11486015,complete,ENS,Empty_Negative,response_slider_endValue,5,empty 72 negative,82781
2651,11486198,complete,ENS,Empty_Negative,response_slider_endValue,10,empty 72 negative,82781
2747,11486198,complete,ENS,Empty_Negative,response_slider_endValue,8,empty 16 negative,82781
78,6067170,complete,SNE,No D Events,response_slider_endValue,4,noD positive,82781
158,6067170,complete,SNE,No D Events,response_slider_endValue,-5,noD negative,82781
240,6067764,complete,SNE,No D Events,response_slider_endValue,10,noD positive,82781
320,6067764,complete,SNE,No D Events,response_slider_endValue,-10,noD negative,82781
402,6068152,complete,SNE,No D Events,response_slider_endValue,-1,noD negative,82781
482,6068152,complete,SNE,No D Events,response_slider_endValue,-3,noD positive,82781
564,11486001,complete,SNE,No D Events,response_slider_endValue,-6,noD negative,82781
644,11486001,complete,SNE,No D Events,response_slider_endValue,4,noD positive,82781
726,11486033,complete,SNE,No D Events,response_slider_endValue,1,noD positive,82781
806,11486033,complete,SNE,No D Events,response_slider_endValue,-8,noD negative,82781
888,11486003,complete,SNE,No D Events,response_slider_endValue,4,noD positive,82781
968,11486003,complete,SNE,No D Events,response_slider_endValue,-8,noD negative,82781
1050,11486059,complete,SNE,No D Events,response_slider_endValue,9,noD negative,82781
1130,11486059,complete,SNE,No D Events,response_slider_endValue,9,noD positive,82781
1212,11486273,complete,SNE,No D Events,response_slider_endValue,8,noD negative,82781
1292,11486273,complete,SNE,No D Events,response_slider_endValue,8,noD positive,82781
781,6067162,complete,SEN,No D Events,response_slider_endValue,-6,noD negative,82781
1581,6067162,complete,SEN,No D Events,response_slider_endValue,5,noD positive,82781
2401,6067980,complete,SEN,No D Events,response_slider_endValue,1,noD negative,82781
3201,6067980,complete,SEN,No D Events,response_slider_endValue,2,noD positive,82781
4021,6068022,complete,SEN,No D Events,response_slider_endValue,2,noD positive,82781
4821,6068022,complete,SEN,No D Events,response_slider_endValue,-2,noD negative,82781
5641,11486009,complete,SEN,No D Events,response_slider_endValue,3,noD negative,82781
6441,11486009,complete,SEN,No D Events,response_slider_endValue,4,noD positive,82781
7261,11486013,complete,SEN,No D Events,response_slider_endValue,-8,noD negative,82781
8061,11486013,complete,SEN,No D Events,response_slider_endValue,6,noD positive,82781
8881,11486052,complete,SEN,No D Events,response_slider_endValue,6,noD positive,82781
9681,11486052,complete,SEN,No D Events,response_slider_endValue,6,noD negative,82781
10501,11486005,complete,SEN,No D Events,response_slider_endValue,3,noD positive,82781
11301,11486005,complete,SEN,No D Events,response_slider_endValue,-8,noD negative,82781
12121,11486074,complete,SEN,No D Events,response_slider_endValue,7,noD negative,82781
12921,11486074,complete,SEN,No D Events,response_slider_endValue,6,noD positive,82781
945,6067170,complete,SNE,Trash_Single_Negative,response_slider_endValue,5,single 16 negative,82781
24613,6067170,complete,SNE,Trash_Single_Negative,response_slider_endValue,3,single 72 negative,82781
3446,6067764,complete,SNE,Trash_Single_Negative,response_slider_endValue,0,single 16 negative,82781
49613,6067764,complete,SNE,Trash_Single_Negative,response_slider_endValue,-10,single 72 negative,82781
5948,6068152,complete,SNE,Trash_Single_Negative,response_slider_endValue,-1,single 16 negative,82781
74613,6068152,complete,SNE,Trash_Single_Negative,response_slider_endValue,-7,single 72 negative,82781
9007,11486003,complete,SNE,Trash_Single_Negative,response_slider_endValue,-4,single 72 negative,82781
99613,11486003,complete,SNE,Trash_Single_Negative,response_slider_endValue,1,single 16 negative,82781
10946,11486001,complete,SNE,Trash_Single_Negative,response_slider_endValue,-8,single 16 negative,82781
124613,11486001,complete,SNE,Trash_Single_Negative,response_slider_endValue,-5,single 72 negative,82781
14008,11486033,complete,SNE,Trash_Single_Negative,response_slider_endValue,-10,single 72 negative,82781
149613,11486033,complete,SNE,Trash_Single_Negative,response_slider_endValue,-6,single 16 negative,82781
159410,11486059,complete,SNE,Trash_Single_Negative,response_slider_endValue,8,single 16 negative,82781
174613,11486059,complete,SNE,Trash_Single_Negative,response_slider_endValue,9,single 72 negative,82781
18445,11486273,complete,SNE,Trash_Single_Negative,response_slider_endValue,8,single 16 negative,82781
199612,11486273,complete,SNE,Trash_Single_Negative,response_slider_endValue,8,single 72 negative,82781
946,6067103,complete,NSE,Empty_Negative,response_slider_endValue,-8,empty 16 negative,82781
24614,6067103,complete,NSE,Empty_Negative,response_slider_endValue,-9,empty 72 negative,82781
3447,6067705,complete,NSE,Empty_Negative,response_slider_endValue,-9,empty 16 negative,82781
49614,6067705,complete,NSE,Empty_Negative,response_slider_endValue,-4,empty 72 negative,82781
5949,6067686,complete,NSE,Empty_Negative,response_slider_endValue,-10,empty 16 negative,82781
74614,6067686,complete,NSE,Empty_Negative,response_slider_endValue,-10,empty 72 negative,82781
8446,6067920,complete,NSE,Empty_Negative,response_slider_endValue,4,empty 16 negative,82781
99614,6067920,complete,NSE,Empty_Negative,response_slider_endValue,-8,empty 72 negative,82781
11507,6080138,complete,NSE,Empty_Negative,response_slider_endValue,0,empty 72 negative,82781
124614,6080138,complete,NSE,Empty_Negative,response_slider_endValue,1,empty 16 negative,82781
13445,11486011,complete,NSE,Empty_Negative,response_slider_endValue,8,empty 16 negative,82781
149614,11486011,complete,NSE,Empty_Negative,response_slider_endValue,9,empty 72 negative,82781
